Product,Qty,Unit,REWE Price,REWE Matched Name,Picnic Price,Picnic Matched Name
Keks,1,stk,NOT FOUND,,NOT FOUND,
Gemüse,1,stk,NOT FOUND,,NOT FOUND,
Geflügel,1,stk,NOT FOUND,,NOT FOUND,
Croissant,1,stk,NOT FOUND,,NOT FOUND,
Berliner,1,stk,NOT FOUND,,NOT FOUND,
Pizza,1,stk,NOT FOUND,,NOT FOUND,
Avocado,1,stk,NOT FOUND,,NOT FOUND,
Bier,1,stk,NOT FOUND,,NOT FOUND,
Pfandartikel,1,stk,NOT FOUND,,NOT FOUND,
Pizzakäse,1,stk,NOT FOUND,,NOT FOUND,
Cheddar,1,stk,NOT FOUND,,NOT FOUND,
Kürbiscremesuppe,1,stk,NOT FOUND,,NOT FOUND,
Waldpilzsuppe,1,stk,NOT FOUND,,NOT FOUND,
Mozzarella,1,stk,NOT FOUND,,NOT FOUND,
Joghurt,1,stk,NOT FOUND,,NOT FOUND,
Quark,1,stk,NOT FOUND,,NOT FOUND,

TOTAL (found items only),,,N/A,,N/A,

Note,NOT FOUND items are excluded from store totals
