Product,Qty,Unit,REWE Price,REWE Matched Name,Picnic Price,Picnic Matched Name
Milch,1,liter,€1.69,"Weihenstephan H-Milch 3,5% 1l",€1.59,"Weihenstephan H-Milch 1,5%"
Butter,250,g,€472.50,Ammerland Weidebutter 250g,€647.50,Meggle feine Butter
Eier,10,stk,€32.90,REWE Beste Wahl Respeggt Eier Freilandhaltung 10 Stück,€29.90,Gut&Günstig Eier aus Freilandhaltung
Toilettenpapier,1,stk,€3.99,œcolife Toilettenpapier Recycling 3-lagig 8x150 Blatt,€2.89,Picnic Recycling Toilettenpapier 3-lagig
Mozzarella,1,stk,€1.29,REWE Bio Mozzarella 125g,€0.85,Gut&Günstig Mozzarella 45%
Joghurt,1,stk,€1.39,"REWE Bio Joghurt mild 3,8% 500g",€0.89,Almighurt Joghurt Stracciatella Ehrmann
Kekse,1,stk,€1.99,Leibniz Butterkeks 200g,€1.99,Lambertz Coco-Fleur
Avocado,1,stk,€1.59,Avocado Hass vorgereift 1 Stück,€1.49,Bio Avocado Hass angereift

TOTAL (found items only),,,€517.34,,€687.10,

Cheapest,REWE,€517.34
